latitude,longitude,sand % topsoil,silt % topsoil,pH water topsoil,OC % subsoil,N % topsoil,N % subsoil,CaCO3 % topsoil,C/N topsoil,C/N subsoil,PSurfFall,QairFall,TairFall,WindFall
0.1714285714285714,0.7250000000000001,0.0990310809110356,0.2014705882352941,0.0972017673048601,0.390749601275917,0.1964285714285714,0.2964554242749732,0.0298151460942158,0.0867052023121386,0.04296875,0.3452031520528775,0.1221644874230514,0.7215627648753973,0.5267346985028672
0.1714285714285714,0.75,0.5331571662262489,0.2588235294117647,0.6273932253313697,0.4545454545454546,0.4285714285714286,0.108485499462943,0.0029815146094215,0.4335260115606936,0.375,0.4887112979818218,0.161336454902996,0.8692082421122969,0.6019602223246455
0.8,0.7250000000000001,0.3592550648043286,0.3519607843137254,0.6995581737849779,0.3269537480063796,0.25,0.2964554242749732,0.2742993440667859,0.3063583815028902,0.5,0.7983004747931561,0.5951590872700603,0.5700164888051411,0.6881884353845408
0.3428571428571429,0.525,0.3592550648043286,0.51,0.6995581737849779,0.5917065390749602,0.3357142857142857,0.7529538131041891,0.3273703041144902,0.3063583815028902,0.5,0.7070078258174304,0.2541642192475318,0.7931173330747114,0.8004369557150223
0.3428571428571429,0.55,0.3592550648043286,0.51,0.6995581737849779,0.5917065390749602,0.3357142857142857,0.7529538131041891,0.3273703041144902,0.3063583815028902,0.5,0.7070078258174304,0.2541642192475318,0.7931173330747114,0.8004369557150223
0.8,0.75,0.3592550648043286,0.3519607843137254,0.6995581737849779,0.3269537480063796,0.25,0.2964554242749732,0.2742993440667859,0.3063583815028902,0.5,0.7983004747931561,0.5951590872700603,0.5700164888051411,0.6881884353845408
0.2000000000000001,0.675,0.3592550648043286,0.3519607843137254,0.6995581737849779,0.3269537480063796,0.25,0.2964554242749732,0.2742993440667859,0.3063583815028902,0.5,0.2269022862144627,0.0875914560919195,0.6364068965961671,0.540007894822469
0.2000000000000001,0.7000000000000001,0.3592550648043286,0.3519607843137254,0.6995581737849779,0.3269537480063796,0.25,0.2964554242749732,0.2742993440667859,0.3063583815028902,0.5,0.2269022862144627,0.0875914560919195,0.6364068965961671,0.540007894822469
0.8285714285714287,0.675,0.5256071473512017,0.3519607843137254,0.7083946980854197,0.3269537480063796,0.25,0.108485499462943,0.389087656529517,0.4046242774566473,0.53125,0.6371726815857324,0.4469324113543627,0.4241634055976746,0.6790402181984586
0.3714285714285714,0.475,0.3592550648043286,0.51,0.6995581737849779,0.5917065390749602,0.3357142857142857,0.7529538131041891,0.3273703041144902,0.3063583815028902,0.5,0.7070078258174304,0.2541642192475318,0.7931173330747114,0.8004369557150223
0.3714285714285714,0.5,0.1625770731093494,0.0999999999999999,0.1045655375552283,0.1355661881977671,0.1964285714285714,0.0010741138560687,0.0014907573047107,0.1156069364161849,0.0625,0.7600478279927341,0.1909770422430362,0.8198723135575854,0.925888226253106
0.8285714285714287,0.7000000000000001,0.5256071473512017,0.3519607843137254,0.7083946980854197,0.3269537480063796,0.25,0.108485499462943,0.389087656529517,0.4046242774566473,0.53125,0.6371726815857324,0.4469324113543627,0.4241634055976746,0.6790402181984586
0.9714285714285712,0.8250000000000001,0.3897068076003523,0.4233333333333333,0.6715758468335788,0.5853269537480064,0.7285714285714286,0.602577873254565,0.2745974955277281,0.4104046242774565,0.3515625,0.4850066072657855,0.886693634438229,0.2019793311226827,0.1382892833876313
0.4285714285714286,0.0499999999999999,0.3592550648043286,0.3519607843137254,0.6995581737849779,0.3269537480063796,0.25,0.2964554242749732,0.2742993440667859,0.3063583815028902,0.5,0.7072900197952947,0.3400859645305064,0.6480718211613521,0.6876511250264411
0.8857142857142857,0.7250000000000001,0.4284635711589279,0.5188235294117647,0.7511045655375552,0.2599681020733653,0.1785714285714285,0.108485499462943,0.5539654144305307,0.3872832369942195,0.609375,0.7886272327000245,0.7173200902292822,0.412000729382548,0.3224665033018653
0.8857142857142857,0.75,0.4284635711589279,0.5188235294117647,0.7511045655375552,0.2599681020733653,0.1785714285714285,0.108485499462943,0.5539654144305307,0.3872832369942195,0.609375,0.7886272327000245,0.7173200902292822,0.412000729382548,0.3224665033018653
0.4285714285714286,0.525,0.3592550648043286,0.51,0.6995581737849779,0.5917065390749602,0.3357142857142857,0.7529538131041891,0.3273703041144902,0.3063583815028902,0.5,0.7070078258174304,0.2541642192475318,0.7931173330747114,0.8004369557150223
0.4285714285714286,0.55,0.3592550648043286,0.51,0.6995581737849779,0.5917065390749602,0.3357142857142857,0.7529538131041891,0.3273703041144902,0.3063583815028902,0.5,0.7070078258174304,0.2541642192475318,0.7931173330747114,0.8004369557150223
0.5142857142857145,0.5750000000000001,0.3042657606644017,0.6156862745098038,0.7290132547864507,0.2025518341307814,0.3,0.4092373791621912,0.4057841383422778,0.2947976878612716,0.609375,0.609231695856459,0.2785601403850123,0.5383373791907289,0.8065191072680503
0.5142857142857145,0.6000000000000001,0.3042657606644017,0.6156862745098038,0.7290132547864507,0.2025518341307814,0.3,0.4092373791621912,0.4057841383422778,0.2947976878612716,0.609375,0.609231695856459,0.2785601403850123,0.5383373791907289,0.8065191072680503
0.4857142857142857,0.075,0.5225871398011829,0.3892156862745098,0.7407952871870398,0.2759170653907495,0.1785714285714285,0.108485499462943,0.5435301132975552,0.3930635838150288,0.59375,0.6424002144927323,0.338497348900651,0.596831598865343,0.6810305503740922
