latitude,longitude,sand % topsoil,silt % topsoil,pH water topsoil,OC % subsoil,N % topsoil,N % subsoil,CaCO3 % topsoil,C/N topsoil,C/N subsoil,PSurfSummer,QairSummer,TairSummer,WindSummer
0.1714285714285714,0.7250000000000001,0.0990310809110356,0.2014705882352941,0.0972017673048601,0.390749601275917,0.1964285714285714,0.2964554242749732,0.0298151460942158,0.0867052023121386,0.04296875,0.3384131168475379,0.2611789539490154,0.6204948615821237,0.5433767036197725
0.1714285714285714,0.75,0.5331571662262489,0.2588235294117647,0.6273932253313697,0.4545454545454546,0.4285714285714286,0.108485499462943,0.0029815146094215,0.4335260115606936,0.375,0.4812567749970382,0.3657097339559388,0.6721282949147245,0.5856237471956511
0.8,0.7250000000000001,0.3592550648043286,0.3519607843137254,0.6995581737849779,0.3269537480063796,0.25,0.2964554242749732,0.2742993440667859,0.3063583815028902,0.5,0.7941837604265638,0.5945569006094367,0.809791496184836,0.7042024566589633
0.3428571428571429,0.525,0.3592550648043286,0.51,0.6995581737849779,0.5917065390749602,0.3357142857142857,0.7529538131041891,0.3273703041144902,0.3063583815028902,0.5,0.6873304818616255,0.1724464013697066,0.9299640189672722,0.7619185013056122
0.3428571428571429,0.55,0.3592550648043286,0.51,0.6995581737849779,0.5917065390749602,0.3357142857142857,0.7529538131041891,0.3273703041144902,0.3063583815028902,0.5,0.6873304818616255,0.1724464013697066,0.9299640189672722,0.7619185013056122
0.8,0.75,0.3592550648043286,0.3519607843137254,0.6995581737849779,0.3269537480063796,0.25,0.2964554242749732,0.2742993440667859,0.3063583815028902,0.5,0.7941837604265638,0.5945569006094367,0.809791496184836,0.7042024566589633
0.2000000000000001,0.675,0.3592550648043286,0.3519607843137254,0.6995581737849779,0.3269537480063796,0.25,0.2964554242749732,0.2742993440667859,0.3063583815028902,0.5,0.2221404954961903,0.250532276042172,0.5107783717695433,0.5227217233036086
0.2000000000000001,0.7000000000000001,0.3592550648043286,0.3519607843137254,0.6995581737849779,0.3269537480063796,0.25,0.2964554242749732,0.2742993440667859,0.3063583815028902,0.5,0.2221404954961903,0.250532276042172,0.5107783717695433,0.5227217233036086
0.8285714285714287,0.675,0.5256071473512017,0.3519607843137254,0.7083946980854197,0.3269537480063796,0.25,0.108485499462943,0.389087656529517,0.4046242774566473,0.53125,0.6322982212414088,0.4381609469653904,0.7054843435292284,0.6179257132851794
0.3714285714285714,0.475,0.3592550648043286,0.51,0.6995581737849779,0.5917065390749602,0.3357142857142857,0.7529538131041891,0.3273703041144902,0.3063583815028902,0.5,0.6873304818616255,0.1724464013697066,0.9299640189672722,0.7619185013056122
0.3714285714285714,0.5,0.1625770731093494,0.0999999999999999,0.1045655375552283,0.1355661881977671,0.1964285714285714,0.0010741138560687,0.0014907573047107,0.1156069364161849,0.0625,0.7382375237764922,0.0307214810639774,0.9713818673478336,0.8521110851763276
0.8285714285714287,0.7000000000000001,0.5256071473512017,0.3519607843137254,0.7083946980854197,0.3269537480063796,0.25,0.108485499462943,0.389087656529517,0.4046242774566473,0.53125,0.6322982212414088,0.4381609469653904,0.7054843435292284,0.6179257132851794
0.9714285714285712,0.8250000000000001,0.3897068076003523,0.4233333333333333,0.6715758468335788,0.5853269537480064,0.7285714285714286,0.602577873254565,0.2745974955277281,0.4104046242774565,0.3515625,0.5040605953294195,0.916427596295113,0.2007955290496177,0.00034897167209
0.4285714285714286,0.0499999999999999,0.3592550648043286,0.3519607843137254,0.6995581737849779,0.3269537480063796,0.25,0.2964554242749732,0.2742993440667859,0.3063583815028902,0.5,0.6889245489000411,0.3075458995779703,0.6270206095400717,0.6845594324349458
0.8857142857142857,0.7250000000000001,0.4284635711589279,0.5188235294117647,0.7511045655375552,0.2599681020733653,0.1785714285714285,0.108485499462943,0.5539654144305307,0.3872832369942195,0.609375,0.7945151670656596,0.7512996826219536,0.6465392498956177,0.2953674525749097
0.8857142857142857,0.75,0.4284635711589279,0.5188235294117647,0.7511045655375552,0.2599681020733653,0.1785714285714285,0.108485499462943,0.5539654144305307,0.3872832369942195,0.609375,0.7945151670656596,0.7512996826219536,0.6465392498956177,0.2953674525749097
0.4285714285714286,0.525,0.3592550648043286,0.51,0.6995581737849779,0.5917065390749602,0.3357142857142857,0.7529538131041891,0.3273703041144902,0.3063583815028902,0.5,0.6873304818616255,0.1724464013697066,0.9299640189672722,0.7619185013056122
0.4285714285714286,0.55,0.3592550648043286,0.51,0.6995581737849779,0.5917065390749602,0.3357142857142857,0.7529538131041891,0.3273703041144902,0.3063583815028902,0.5,0.6873304818616255,0.1724464013697066,0.9299640189672722,0.7619185013056122
0.5142857142857145,0.5750000000000001,0.3042657606644017,0.6156862745098038,0.7290132547864507,0.2025518341307814,0.3,0.4092373791621912,0.4057841383422778,0.2947976878612716,0.609375,0.5957472386540115,0.1587931699040257,0.8064792252949111,0.8569631737578913
0.5142857142857145,0.6000000000000001,0.3042657606644017,0.6156862745098038,0.7290132547864507,0.2025518341307814,0.3,0.4092373791621912,0.4057841383422778,0.2947976878612716,0.609375,0.5957472386540115,0.1587931699040257,0.8064792252949111,0.8569631737578913
0.4857142857142857,0.075,0.5225871398011829,0.3892156862745098,0.7407952871870398,0.2759170653907495,0.1785714285714285,0.108485499462943,0.5435301132975552,0.3930635838150288,0.59375,0.6253546069804319,0.3041169975130849,0.5358136949993657,0.6987326150586519
