latitude,longitude,sand % topsoil,silt % topsoil,clay % topsoil,pH water topsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,CEC topsoil,CaCO3 % topsoil,C/N topsoil,C/N subsoil,PSurfFall,QairFall,TairFall,TairSummer,WindFall,WindSpring,WindWinter
22.25,6.25,0.09903108091103557,0.20147058823529412,0.1918859649122807,0.09720176730486009,0.13919333625602806,0.39074960127591707,0.19642857142857145,0.2964554242749732,0.13105375199574243,0.02981514609421586,0.08670520231213873,0.042968749999999986,0.34520315205287805,0.12216448742305142,0.7215627648753987,0.620494861582125,0.5267346985028672,0.6228823346273866,0.6635853514462995
22.25,6.75,0.5331571662262489,0.2588235294117647,0.4031713900134952,0.6273932253313695,0.36825953529153876,0.4545454545454546,0.42857142857142866,0.10848549946294309,0.2261841405002661,0.0029815146094215863,0.43352601156069365,0.37499999999999994,0.48871129798182233,0.16133645490299608,0.8692082421122973,0.6721282949147239,0.6019602223246456,0.6026514232878095,0.892079942266595
33.25,6.25,0.35925506480432867,0.35196078431372546,0.3490215924426451,0.6995581737849779,0.1591407277509864,0.3269537480063796,0.25000000000000006,0.2964554242749732,0.21820117083555082,0.2742993440667859,0.3063583815028902,0.49999999999999994,0.7983004747931569,0.5951590872700603,0.5700164888051427,0.8097914961848351,0.6881884353845409,0.815660191583025,0.6954847775521737
25.25,2.25,0.35925506480432867,0.51,0.42139001349527666,0.6995581737849779,0.1591407277509864,0.5917065390749601,0.33571428571428574,0.7529538131041891,0.26742948376796166,0.3273703041144902,0.3063583815028902,0.49999999999999994,0.7070078258174303,0.2541642192475318,0.7931173330747123,0.929964018967272,0.8004369557150223,0.7871198894602209,0.8508903860845122
25.25,2.75,0.35925506480432867,0.51,0.42139001349527666,0.6995581737849779,0.1591407277509864,0.5917065390749601,0.33571428571428574,0.7529538131041891,0.26742948376796166,0.3273703041144902,0.3063583815028902,0.49999999999999994,0.7070078258174303,0.2541642192475318,0.7931173330747123,0.929964018967272,0.8004369557150223,0.7871198894602209,0.8508903860845122
33.25,6.75,0.35925506480432867,0.35196078431372546,0.3490215924426451,0.6995581737849779,0.1591407277509864,0.3269537480063796,0.25000000000000006,0.2964554242749732,0.21820117083555082,0.2742993440667859,0.3063583815028902,0.49999999999999994,0.7983004747931569,0.5951590872700603,0.5700164888051427,0.8097914961848351,0.6881884353845409,0.815660191583025,0.6954847775521737
22.75,5.25,0.35925506480432867,0.35196078431372546,0.3490215924426451,0.6995581737849779,0.1591407277509864,0.3269537480063796,0.25000000000000006,0.2964554242749732,0.21820117083555082,0.2742993440667859,0.3063583815028902,0.49999999999999994,0.22690228621446334,0.08759145609191944,0.6364068965961686,0.5107783717695431,0.540007894822469,0.6345260766978588,0.6311878073187436
22.75,5.75,0.35925506480432867,0.35196078431372546,0.3490215924426451,0.6995581737849779,0.1591407277509864,0.3269537480063796,0.25000000000000006,0.2964554242749732,0.21820117083555082,0.2742993440667859,0.3063583815028902,0.49999999999999994,0.22690228621446334,0.08759145609191944,0.6364068965961686,0.5107783717695431,0.540007894822469,0.6345260766978588,0.6311878073187436
33.75,5.25,0.5256071473512016,0.35196078431372546,0.3331646423751687,0.7083946980854197,0.22139412538360367,0.3269537480063796,0.25000000000000006,0.10848549946294309,0.21820117083555082,0.38908765652951705,0.40462427745664736,0.53125,0.6371726815857325,0.4469324113543627,0.4241634055976757,0.7054843435292275,0.6790402181984586,0.7355883432866365,0.7195494821172675
25.75,1.25,0.35925506480432867,0.51,0.42139001349527666,0.6995581737849779,0.1591407277509864,0.5917065390749601,0.33571428571428574,0.7529538131041891,0.26742948376796166,0.3273703041144902,0.3063583815028902,0.49999999999999994,0.7070078258174303,0.2541642192475318,0.7931173330747123,0.929964018967272,0.8004369557150223,0.7871198894602209,0.8508903860845122
25.75,1.75,0.1625770731093494,0.09999999999999999,0.1931511470985155,0.10456553755522825,0.15563349408154317,0.13556618819776717,0.19642857142857145,0.001074113856068737,0.08781266631186803,0.0014907573047107932,0.11560693641618497,0.062499999999999986,0.7600478279927346,0.19097704224303622,0.8198723135575876,0.9713818673478349,0.9258882262531061,0.8981153049282772,0.9079683395537627
33.75,5.75,0.5256071473512016,0.35196078431372546,0.3331646423751687,0.7083946980854197,0.22139412538360367,0.3269537480063796,0.25000000000000006,0.10848549946294309,0.21820117083555082,0.38908765652951705,0.40462427745664736,0.53125,0.6371726815857325,0.4469324113543627,0.4241634055976757,0.7054843435292275,0.6790402181984586,0.7355883432866365,0.7195494821172675
36.25,8.25,0.3897068076003523,0.42333333333333334,0.45479082321187586,0.6715758468335787,0.40333187198597104,0.5853269537480064,0.7285714285714286,0.6025778732545651,0.5015965939329431,0.2745974955277281,0.4104046242774566,0.3515625,0.4850066072657854,0.8866936344382292,0.20197933112268343,0.20079552904961856,0.1382892833876314,0.09118515910252807,0.2828186650439442
26.75,-7.25,0.35925506480432867,0.35196078431372546,0.3490215924426451,0.6995581737849779,0.1591407277509864,0.3269537480063796,0.25000000000000006,0.2964554242749732,0.21820117083555082,0.2742993440667859,0.3063583815028902,0.49999999999999994,0.7072900197952946,0.3400859645305064,0.6480718211613541,0.6270206095400706,0.6876511250264412,0.8521058472712214,0.6534833700899713
34.75,6.25,0.42846357115892786,0.5188235294117647,0.3201754385964912,0.7511045655375552,0.1806225339763262,0.2599681020733653,0.17857142857142858,0.10848549946294309,0.28791910590739755,0.5539654144305307,0.38728323699421957,0.609375,0.7886272327000247,0.7173200902292823,0.4120007293825508,0.6465392498956164,0.3224665033018653,0.3820900476384465,0.3244131865292224
